TOT_POP,% NA/AI-alone,% Hawaiian/PI-alone,Bachelor's degree or higher 2014-18,Population Aged 60+,STATE_FIPS,anycondition_number,Total Hospitals (2019)
22983.0,3.080537789,0.034808337,2874.0,7186.0,26.0,9067.0,0.33109045
31729.0,2.332251253,0.24898358,10679.0,13626.0,53.0,9616.0,0.387370811
16249.0,0.393870392,0.006154225,2569.0,3468.0,19.0,5262.0,0.607507576
32358.0,0.432659621,0.046356388,3986.0,9544.0,47.0,12813.0,0.549655023
128607.0,0.440100461,0.059094762,28075.0,29936.0,47.0,43675.0,2.184606079
9398.0,0.191530113,0.031921685,889.0,2170.0,13.0,3865.0,0.129541636
507078.0,0.637968912,0.109450617,110463.0,104370.0,34.0,153794.0,4.667486406
15985.0,0.663121677,0.150140757,2368.0,4084.0,31.0,5337.0,0.77055391
8924.0,1.333482743,0.033617212,722.0,3095.0,5.0,3677.0,0.260569874
30100.0,0.292358804,0.026578073,4671.0,7324.0,21.0,12500.0,0.707299836
32384.0,0.45701581,0.043231225,3372.0,7195.0,39.0,14644.0,0.537450462
47823.0,0.357568534,0.035547749,8106.0,10162.0,36.0,15781.0,0.406229306
6907.0,0.188214855,0.0,954.0,2052.0,17.0,2789.0,0.101373588
2278906.0,1.324582936,0.231909522,518999.0,470619.0,36.0,661141.0,19.35801608
50815.0,0.377841189,0.021647151,10514.0,11999.0,21.0,19691.0,1.194067812
54539.0,2.302939181,0.287867398,8238.0,17942.0,6.0,17014.0,0.494968747
4178.0,2.154140737,0.023934897,697.0,1151.0,20.0,1560.0,0.199464538
68362.0,19.55179778,0.111172874,8947.0,15273.0,40.0,27601.0,2.167151609
16683.0,5.298807169,0.251753282,2484.0,2952.0,8.0,4685.0,0.26069183
21098.0,18.18655797,0.137453787,1972.0,9183.0,4.0,9566.0,0.244174629
559335.0,0.461262034,0.066865117,136613.0,112051.0,10.0,177699.0,4.04824483
58930.0,0.290174784,0.071270999,9306.0,12035.0,28.0,22614.0,1.95346104
50953.0,0.347378957,0.058877789,4839.0,15335.0,51.0,22153.0,0.574274348
14432.0,0.145509978,0.006929047,1243.0,3347.0,21.0,5955.0,0.339127948
996945.0,0.214956693,0.022167722,297633.0,235062.0,29.0,316527.0,19.8528104
54993.0,1.363809939,0.098194316,18316.0,8107.0,8.0,11906.0,0.859331402
45358.0,0.341725826,0.04850302,4982.0,11070.0,39.0,16838.0,0.752769208
47542.0,1.192629675,0.079929326,8072.0,12977.0,48.0,17381.0,0.86630201
136373.0,6.3164996,0.334377039,27380.0,31200.0,6.0,39310.0,1.237653293
45467.0,0.481668023,0.03299096,4471.0,12165.0,37.0,17405.0,0.490417022
10134.0,7.647523189,0.009867772,955.0,2454.0,40.0,3824.0,0.321259097
196584.0,0.668925243,0.08240752,32838.0,42061.0,55.0,70409.0,4.497353777
16603.0,0.99981931,0.024092032,1730.0,5519.0,5.0,6700.0,0.484787272
16141.0,0.260206927,0.037172418,2142.0,3976.0,19.0,5398.0,0.603469739
34055.0,0.320070474,0.026427837,3829.0,9123.0,19.0,12117.0,1.273227307
8013.0,0.436790216,0.062398602,1195.0,2300.0,51.0,3159.0,0.090311863
22895.0,0.921598602,1.153090194,2731.0,5380.0,29.0,8920.0,0.455922939
532331.0,0.277458949,0.070257039,99765.0,124285.0,39.0,207524.0,8.834657292
14310.0,1.05520615,0.027952481,943.0,3247.0,12.0,5598.0,0.145791944
293557.0,0.358022462,0.033724285,97804.0,68027.0,23.0,80819.0,7.457343224
159337.0,0.554798948,0.028242028,20564.0,38914.0,26.0,61796.0,2.295390467
38346.0,0.438116101,0.049548845,4687.0,8814.0,18.0,13979.0,0.756390359
206229.0,0.373856247,0.032488156,46567.0,52544.0,23.0,68180.0,5.238915903
14717.0,0.258204797,0.033974315,1930.0,3592.0,17.0,5083.0,0.216000449
13143.0,0.570645971,0.136955033,820.0,2925.0,13.0,5839.0,0.181162558
42647.0,0.354069454,0.147724342,6942.0,12003.0,19.0,15494.0,1.594459697
164742.0,0.176639837,0.038241614,28795.0,45796.0,42.0,58840.0,2.559811385
45851.0,0.224640684,0.063248348,5236.0,9073.0,21.0,18291.0,1.077422085
94632.0,0.515681799,0.157452025,13518.0,19091.0,51.0,38444.0,1.066565857
6005.0,1.76519567,0.049958368,1225.0,1413.0,48.0,2031.0,0.10942206
469966.0,0.800483439,0.230654984,112640.0,80856.0,16.0,118252.0,12.05585085
